BirdtreeFormat,Family,O.C,Final.polygyny,Final.EPP,Syllable.rep.final,Syll.song.final,Song.rep.final,Duration.final,Interval.final,Song.rate,Continuity,EPPSourcedata
Catharus_minimus,Turdidae,NA,0,NA,NA,NA,NA,NA,NA,7.001166861,NA,NA
Passerculus_sandwichensis,Passerellidae,NA,1,1,NA,NA,NA,NA,NA,7.01754386,NA,NA
Dendroica_pensylvanica,Parulidae,NA,NA,1,NA,NA,NA,NA,NA,7.138607971,NA,NA
Dendroica_petechia,Parulidae,NA,0,1,NA,NA,NA,NA,NA,7.142857143,NA,NA
Oporornis_philadelphia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,7.147111376,NA,NA
Mniotilta_varia,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,7.242003621,NA,NA
Ficedula_hypoleuca,Muscicapidae,NA,1,1,NA,NA,NA,NA,NA,7.398273736,NA,NA
Hirundo_rustica,Hirundinidae,NA,0,1,NA,NA,NA,NA,NA,7.471980075,NA,NA
Spizella_pallida,Passerellidae,NA,0,NA,NA,NA,NA,NA,NA,7.5,NA,NA
Vermivora_ruficapilla,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,7.682458387,NA,NA
Phylloscopus_sibilatrix,Phylloscopidae,NA,1,0,NA,NA,NA,NA,NA,7.692307692,NA,NA
Wilsonia_citrina,Parulidae,NA,0,1,NA,NA,NA,NA,NA,7.692307692,NA,NA
Emberiza_cia,Emberizidae,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
Regulus_ignicapilla,Regulidae,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
Seiurus_aurocapilla,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,8.005336891,NA,NA
Catharus_fuscescens,Turdidae,NA,0,NA,NA,NA,NA,NA,NA,8.016032064,NA,NA
Geothlypis_trichas,Parulidae,NA,0,1,NA,NA,NA,NA,NA,8.042895442,NA,NA
Thryomanes_bewickii,Troglodytidae,NA,0,NA,NA,NA,NA,NA,NA,8.108108108,NA,NA
Thryothorus_felix,Troglodytidae,NA,NA,NA,NA,NA,NA,NA,NA,8.219178082,NA,NA
Oenanthe_oenanthe,Muscicapidae,NA,0,1,NA,NA,NA,NA,NA,8.275862069,NA,NA
Passer_montanus,Passeridae,NA,0,NA,NA,NA,NA,NA,NA,8.321775312,NA,NA
Junco_phaeonotus,Passerellidae,NA,NA,NA,NA,NA,NA,NA,NA,8.462623413,NA,NA
Catharus_ustulatus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,8.571428571,NA,NA
Parus_caeruleus,Paridae,NA,1,1,NA,NA,NA,NA,NA,8.571428571,NA,NA
Catharus_guttatus,Turdidae,NA,NA,NA,NA,NA,NA,NA,NA,8.651766402,NA,NA
Dendroica_tigrina,Parulidae,NA,NA,NA,NA,NA,NA,NA,NA,8.695652174,NA,NA
Luscinia_megarhynchos,Muscicapidae,NA,0,NA,NA,NA,NA,NA,NA,8.695652174,NA,NA
Parula_americana,Parulidae,NA,0,NA,NA,NA,NA,NA,NA,8.75273523,NA,NA
